,REF_DATE,GEO,Type of fuel sales,UOM,SCALAR_FACTOR,VALUE
26,1987,Ontario,Net sales of diesel oil,Litres,thousands,0.0
27,1987,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
28,1987,Manitoba,Net sales of gasoline,Litres,thousands,1308123.0
29,1987,Manitoba,Gross sales of gasoline,Litres,thousands,1463581.0
30,1987,Manitoba,Net sales of diesel oil,Litres,thousands,149400.0
31,1987,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,24856.0
32,1987,Saskatchewan,Net sales of gasoline,Litres,thousands,1606314.0
33,1987,Saskatchewan,Gross sales of gasoline,Litres,thousands,1815924.0
34,1987,Saskatchewan,Net sales of diesel oil,Litres,thousands,0.0
35,1987,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,0.0
36,1987,Alberta,Net sales of gasoline,Litres,thousands,3764699.0
37,1987,Alberta,Gross sales of gasoline,Litres,thousands,4362260.0
38,1987,Alberta,Net sales of diesel oil,Litres,thousands,687951.0
39,1987,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,0.0
40,1987,British Columbia,Net sales of gasoline,Litres,thousands,3519014.0
41,1987,British Columbia,Gross sales of gasoline,Litres,thousands,3677740.0
42,1987,British Columbia,Net sales of diesel oil,Litres,thousands,815123.0
43,1987,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
44,1987,Yukon,Net sales of gasoline,Litres,thousands,57018.0
45,1987,Yukon,Gross sales of gasoline,Litres,thousands,60858.0
46,1987,Yukon,Net sales of diesel oil,Litres,thousands,28577.0
47,1987,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
48,1987,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,39187.0
49,1987,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,52204.0
50,1987,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,59737.0
51,1987,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
52,1988,Canada,Net sales of gasoline,Litres,thousands,31754651.0
53,1988,Canada,Gross sales of gasoline,Litres,thousands,33762548.0
54,1988,Canada,Net sales of diesel oil,Litres,thousands,5767251.0
55,1988,Canada,Net sales of liquefied petroleum gas,Litres,thousands,87015.0
56,1988,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,568172.0
57,1988,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,587163.0
58,1988,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,129355.0
59,1988,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1420.0
60,1988,Prince Edward Island,Net sales of gasoline,Litres,thousands,175611.0
61,1988,Prince Edward Island,Gross sales of gasoline,Litres,thousands,179735.0
62,1988,Prince Edward Island,Net sales of diesel oil,Litres,thousands,24341.0
63,1988,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,723.0
64,1988,Nova Scotia,Net sales of gasoline,Litres,thousands,1095247.0
65,1988,Nova Scotia,Gross sales of gasoline,Litres,thousands,1118838.0
66,1988,Nova Scotia,Net sales of diesel oil,Litres,thousands,279206.0
67,1988,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,6824.0
68,1988,New Brunswick,Net sales of gasoline,Litres,thousands,999483.0
69,1988,New Brunswick,Gross sales of gasoline,Litres,thousands,999624.0
70,1988,New Brunswick,Net sales of diesel oil,Litres,thousands,286763.0
71,1988,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,4253.0
72,1988,Quebec,Net sales of gasoline,Litres,thousands,6843471.0
73,1988,Quebec,Gross sales of gasoline,Litres,thousands,6996724.0
74,1988,Quebec,Net sales of diesel oil,Litres,thousands,2142179.0
75,1988,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,3233.0
76,1988,Ontario,Net sales of gasoline,Litres,thousands,12051748.0
77,1988,Ontario,Gross sales of gasoline,Litres,thousands,12368600.0
78,1988,Ontario,Net sales of diesel oil,Litres,thousands,0.0
79,1988,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
80,1988,Manitoba,Net sales of gasoline,Litres,thousands,1402359.0
81,1988,Manitoba,Gross sales of gasoline,Litres,thousands,1554980.0
82,1988,Manitoba,Net sales of diesel oil,Litres,thousands,243362.0
83,1988,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,26820.0
84,1988,Saskatchewan,Net sales of gasoline,Litres,thousands,1157310.0
85,1988,Saskatchewan,Gross sales of gasoline,Litres,thousands,1801927.0
86,1988,Saskatchewan,Net sales of diesel oil,Litres,thousands,470646.0
87,1988,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,43742.0
88,1988,Alberta,Net sales of gasoline,Litres,thousands,3771623.0
89,1988,Alberta,Gross sales of gasoline,Litres,thousands,4297317.0
90,1988,Alberta,Net sales of diesel oil,Litres,thousands,1252186.0
91,1988,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,0.0
92,1988,British Columbia,Net sales of gasoline,Litres,thousands,3597655.0
93,1988,British Columbia,Gross sales of gasoline,Litres,thousands,3749629.0
94,1988,British Columbia,Net sales of diesel oil,Litres,thousands,882119.0
95,1988,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
96,1988,Yukon,Net sales of gasoline,Litres,thousands,60662.0
97,1988,Yukon,Gross sales of gasoline,Litres,thousands,64932.0
98,1988,Yukon,Net sales of diesel oil,Litres,thousands,26644.0
99,1988,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
100,1988,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,31310.0
101,1988,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,43079.0
102,1988,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,30451.0
103,1988,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
104,1989,Canada,Net sales of gasoline,Litres,thousands,31663767.0
105,1989,Canada,Gross sales of gasoline,Litres,thousands,34153000.0
106,1989,Canada,Net sales of diesel oil,Litres,thousands,6032674.0
107,1989,Canada,Net sales of liquefied petroleum gas,Litres,thousands,69131.0
108,1989,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,583386.0
109,1989,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,602815.0
110,1989,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,138538.0
111,1989,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1626.0
112,1989,Prince Edward Island,Net sales of gasoline,Litres,thousands,175896.0
113,1989,Prince Edward Island,Gross sales of gasoline,Litres,thousands,180715.0
114,1989,Prince Edward Island,Net sales of diesel oil,Litres,thousands,26849.0
115,1989,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,527.0
116,1989,Nova Scotia,Net sales of gasoline,Litres,thousands,1105209.0
117,1989,Nova Scotia,Gross sales of gasoline,Litres,thousands,1127702.0
118,1989,Nova Scotia,Net sales of diesel oil,Litres,thousands,283465.0
119,1989,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,2053.0
120,1989,New Brunswick,Net sales of gasoline,Litres,thousands,970293.0
121,1989,New Brunswick,Gross sales of gasoline,Litres,thousands,975735.0
122,1989,New Brunswick,Net sales of diesel oil,Litres,thousands,279952.0
123,1989,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,4132.0
124,1989,Quebec,Net sales of gasoline,Litres,thousands,7051184.0
125,1989,Quebec,Gross sales of gasoline,Litres,thousands,7180953.0
126,1989,Quebec,Net sales of diesel oil,Litres,thousands,2210953.0
127,1989,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,1633.0
128,1989,Ontario,Net sales of gasoline,Litres,thousands,12349948.0
129,1989,Ontario,Gross sales of gasoline,Litres,thousands,12660325.0
130,1989,Ontario,Net sales of diesel oil,Litres,thousands,0.0
131,1989,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
132,1989,Manitoba,Net sales of gasoline,Litres,thousands,1341072.0
133,1989,Manitoba,Gross sales of gasoline,Litres,thousands,1491793.0
134,1989,Manitoba,Net sales of diesel oil,Litres,thousands,219464.0
135,1989,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,27518.0
136,1989,Saskatchewan,Net sales of gasoline,Litres,thousands,620070.0
137,1989,Saskatchewan,Gross sales of gasoline,Litres,thousands,1773607.0
138,1989,Saskatchewan,Net sales of diesel oil,Litres,thousands,514864.0
139,1989,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,31643.0
140,1989,Alberta,Net sales of gasoline,Litres,thousands,3774250.0
141,1989,Alberta,Gross sales of gasoline,Litres,thousands,4285538.0
142,1989,Alberta,Net sales of diesel oil,Litres,thousands,1341477.0
143,1989,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,0.0
144,1989,British Columbia,Net sales of gasoline,Litres,thousands,3599180.0
145,1989,British Columbia,Gross sales of gasoline,Litres,thousands,3754901.0
146,1989,British Columbia,Net sales of diesel oil,Litres,thousands,948962.0
147,1989,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
148,1989,Yukon,Net sales of gasoline,Litres,thousands,59472.0
149,1989,Yukon,Gross sales of gasoline,Litres,thousands,64593.0
150,1989,Yukon,Net sales of diesel oil,Litres,thousands,26838.0
151,1989,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
152,1989,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,33807.0
153,1989,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,54323.0
154,1989,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,41311.0
155,1989,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
156,1990,Canada,Net sales of gasoline,Litres,thousands,30851594.0
157,1990,Canada,Gross sales of gasoline,Litres,thousands,33314359.0
158,1990,Canada,Net sales of diesel oil,Litres,thousands,5899150.0
159,1990,Canada,Net sales of liquefied petroleum gas,Litres,thousands,88274.0
160,1990,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,572472.0
161,1990,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,592742.0
162,1990,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,149068.0
163,1990,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1526.0
164,1990,Prince Edward Island,Net sales of gasoline,Litres,thousands,177133.0
165,1990,Prince Edward Island,Gross sales of gasoline,Litres,thousands,181104.0
166,1990,Prince Edward Island,Net sales of diesel oil,Litres,thousands,16234.0
167,1990,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,582.0
168,1990,Nova Scotia,Net sales of gasoline,Litres,thousands,1039206.0
169,1990,Nova Scotia,Gross sales of gasoline,Litres,thousands,1060329.0
170,1990,Nova Scotia,Net sales of diesel oil,Litres,thousands,275493.0
171,1990,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5338.0
172,1990,New Brunswick,Net sales of gasoline,Litres,thousands,956257.0
173,1990,New Brunswick,Gross sales of gasoline,Litres,thousands,962031.0
174,1990,New Brunswick,Net sales of diesel oil,Litres,thousands,294368.0
175,1990,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3875.0
176,1990,Quebec,Net sales of gasoline,Litres,thousands,6982566.0
177,1990,Quebec,Gross sales of gasoline,Litres,thousands,7085684.0
178,1990,Quebec,Net sales of diesel oil,Litres,thousands,2179921.0
179,1990,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,3599.0
180,1990,Ontario,Net sales of gasoline,Litres,thousands,11781900.0
181,1990,Ontario,Gross sales of gasoline,Litres,thousands,12129200.0
182,1990,Ontario,Net sales of diesel oil,Litres,thousands,0.0
183,1990,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
184,1990,Manitoba,Net sales of gasoline,Litres,thousands,1298488.0
185,1990,Manitoba,Gross sales of gasoline,Litres,thousands,1447936.0
186,1990,Manitoba,Net sales of diesel oil,Litres,thousands,307649.0
187,1990,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,27589.0
188,1990,Saskatchewan,Net sales of gasoline,Litres,thousands,624141.0
189,1990,Saskatchewan,Gross sales of gasoline,Litres,thousands,1714461.0
190,1990,Saskatchewan,Net sales of diesel oil,Litres,thousands,483655.0
191,1990,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,45764.0
192,1990,Alberta,Net sales of gasoline,Litres,thousands,3788294.0
193,1990,Alberta,Gross sales of gasoline,Litres,thousands,4317706.0
194,1990,Alberta,Net sales of diesel oil,Litres,thousands,1156026.0
195,1990,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,0.0
196,1990,British Columbia,Net sales of gasoline,Litres,thousands,3539953.0
197,1990,British Columbia,Gross sales of gasoline,Litres,thousands,3693551.0
198,1990,British Columbia,Net sales of diesel oil,Litres,thousands,971437.0
199,1990,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
200,1990,Yukon,Net sales of gasoline,Litres,thousands,57932.0
201,1990,Yukon,Gross sales of gasoline,Litres,thousands,62967.0
202,1990,Yukon,Net sales of diesel oil,Litres,thousands,26876.0
203,1990,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
204,1990,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,33253.0
205,1990,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,66647.0
206,1990,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,38424.0
207,1990,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
208,1991,Canada,Net sales of gasoline,Litres,thousands,30790427.0
209,1991,Canada,Gross sales of gasoline,Litres,thousands,32602163.0
210,1991,Canada,Net sales of diesel oil,Litres,thousands,5919996.0
211,1991,Canada,Net sales of liquefied petroleum gas,Litres,thousands,486723.0
212,1991,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,573614.0
213,1991,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,594627.0
214,1991,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,168815.0
215,1991,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1447.0
216,1991,Prince Edward Island,Net sales of gasoline,Litres,thousands,168763.0
217,1991,Prince Edward Island,Gross sales of gasoline,Litres,thousands,172147.0
218,1991,Prince Edward Island,Net sales of diesel oil,Litres,thousands,28088.0
219,1991,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,502.0
220,1991,Nova Scotia,Net sales of gasoline,Litres,thousands,1065925.0
221,1991,Nova Scotia,Gross sales of gasoline,Litres,thousands,1082583.0
222,1991,Nova Scotia,Net sales of diesel oil,Litres,thousands,264852.0
223,1991,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5735.0
224,1991,New Brunswick,Net sales of gasoline,Litres,thousands,904505.0
225,1991,New Brunswick,Gross sales of gasoline,Litres,thousands,910271.0
226,1991,New Brunswick,Net sales of diesel oil,Litres,thousands,285016.0
227,1991,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3683.0
228,1991,Quebec,Net sales of gasoline,Litres,thousands,6823648.0
229,1991,Quebec,Gross sales of gasoline,Litres,thousands,7002277.0
230,1991,Quebec,Net sales of diesel oil,Litres,thousands,2244000.0
231,1991,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,2210.0
232,1991,Ontario,Net sales of gasoline,Litres,thousands,11465729.0
233,1991,Ontario,Gross sales of gasoline,Litres,thousands,11887265.0
234,1991,Ontario,Net sales of diesel oil,Litres,thousands,0.0
235,1991,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
236,1991,Manitoba,Net sales of gasoline,Litres,thousands,1250175.0
237,1991,Manitoba,Gross sales of gasoline,Litres,thousands,1386475.0
238,1991,Manitoba,Net sales of diesel oil,Litres,thousands,323657.0
239,1991,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,26883.0
240,1991,Saskatchewan,Net sales of gasoline,Litres,thousands,1172571.0
241,1991,Saskatchewan,Gross sales of gasoline,Litres,thousands,1613915.0
242,1991,Saskatchewan,Net sales of diesel oil,Litres,thousands,511134.0
243,1991,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,60662.0
244,1991,Alberta,Net sales of gasoline,Litres,thousands,3746700.0
245,1991,Alberta,Gross sales of gasoline,Litres,thousands,4151900.0
246,1991,Alberta,Net sales of diesel oil,Litres,thousands,1111100.0
247,1991,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,385600.0
248,1991,British Columbia,Net sales of gasoline,Litres,thousands,3527620.0
249,1991,British Columbia,Gross sales of gasoline,Litres,thousands,3678141.0
250,1991,British Columbia,Net sales of diesel oil,Litres,thousands,928748.0
251,1991,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
252,1991,Yukon,Net sales of gasoline,Litres,thousands,59047.0
253,1991,Yukon,Gross sales of gasoline,Litres,thousands,63831.0
254,1991,Yukon,Net sales of diesel oil,Litres,thousands,26034.0
255,1991,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
256,1991,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,32130.0
257,1991,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,58730.0
258,1991,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,28551.0
259,1991,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
260,1992,Canada,Net sales of gasoline,Litres,thousands,31418676.0
261,1992,Canada,Gross sales of gasoline,Litres,thousands,32770963.0
262,1992,Canada,Net sales of diesel oil,Litres,thousands,5999223.0
263,1992,Canada,Net sales of liquefied petroleum gas,Litres,thousands,535957.0
264,1992,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,579792.0
265,1992,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,601805.0
266,1992,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,139948.0
267,1992,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1402.0
268,1992,Prince Edward Island,Net sales of gasoline,Litres,thousands,172143.0
269,1992,Prince Edward Island,Gross sales of gasoline,Litres,thousands,175433.0
270,1992,Prince Edward Island,Net sales of diesel oil,Litres,thousands,29835.0
271,1992,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,405.0
272,1992,Nova Scotia,Net sales of gasoline,Litres,thousands,1082148.0
273,1992,Nova Scotia,Gross sales of gasoline,Litres,thousands,1098049.0
274,1992,Nova Scotia,Net sales of diesel oil,Litres,thousands,278016.0
275,1992,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5711.0
276,1992,New Brunswick,Net sales of gasoline,Litres,thousands,929763.0
277,1992,New Brunswick,Gross sales of gasoline,Litres,thousands,935016.0
278,1992,New Brunswick,Net sales of diesel oil,Litres,thousands,287016.0
279,1992,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3824.0
280,1992,Quebec,Net sales of gasoline,Litres,thousands,6868325.0
281,1992,Quebec,Gross sales of gasoline,Litres,thousands,6987095.0
282,1992,Quebec,Net sales of diesel oil,Litres,thousands,2272617.0
283,1992,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,2397.0
284,1992,Ontario,Net sales of gasoline,Litres,thousands,11706200.0
285,1992,Ontario,Gross sales of gasoline,Litres,thousands,11982500.0
286,1992,Ontario,Net sales of diesel oil,Litres,thousands,0.0
287,1992,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,0.0
288,1992,Manitoba,Net sales of gasoline,Litres,thousands,1150309.0
289,1992,Manitoba,Gross sales of gasoline,Litres,thousands,1286351.0
290,1992,Manitoba,Net sales of diesel oil,Litres,thousands,321103.0
291,1992,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,32018.0
292,1992,Saskatchewan,Net sales of gasoline,Litres,thousands,1446344.0
293,1992,Saskatchewan,Gross sales of gasoline,Litres,thousands,1620537.0
294,1992,Saskatchewan,Net sales of diesel oil,Litres,thousands,501340.0
295,1992,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,69300.0
296,1992,Alberta,Net sales of gasoline,Litres,thousands,3718700.0
297,1992,Alberta,Gross sales of gasoline,Litres,thousands,4129900.0
298,1992,Alberta,Net sales of diesel oil,Litres,thousands,1175200.0
299,1992,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,420900.0
300,1992,British Columbia,Net sales of gasoline,Litres,thousands,3666882.0
301,1992,British Columbia,Gross sales of gasoline,Litres,thousands,3825647.0
302,1992,British Columbia,Net sales of diesel oil,Litres,thousands,940068.0
303,1992,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
304,1992,Yukon,Net sales of gasoline,Litres,thousands,65358.0
305,1992,Yukon,Gross sales of gasoline,Litres,thousands,68229.0
306,1992,Yukon,Net sales of diesel oil,Litres,thousands,28320.0
307,1992,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
308,1992,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,32711.0
309,1992,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,60401.0
310,1992,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,25760.0
311,1992,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
312,1993,Canada,Net sales of gasoline,Litres,thousands,32337697.0
313,1993,Canada,Gross sales of gasoline,Litres,thousands,33716465.0
314,1993,Canada,Net sales of diesel oil,Litres,thousands,9000534.0
315,1993,Canada,Net sales of liquefied petroleum gas,Litres,thousands,1030375.0
316,1993,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,585091.0
317,1993,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,604238.0
318,1993,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,139223.0
319,1993,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1576.0
320,1993,Prince Edward Island,Net sales of gasoline,Litres,thousands,174007.0
321,1993,Prince Edward Island,Gross sales of gasoline,Litres,thousands,177601.0
322,1993,Prince Edward Island,Net sales of diesel oil,Litres,thousands,31492.0
323,1993,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,416.0
324,1993,Nova Scotia,Net sales of gasoline,Litres,thousands,1085350.0
325,1993,Nova Scotia,Gross sales of gasoline,Litres,thousands,1100056.0
326,1993,Nova Scotia,Net sales of diesel oil,Litres,thousands,274963.0
327,1993,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5465.0
328,1993,New Brunswick,Net sales of gasoline,Litres,thousands,961131.0
329,1993,New Brunswick,Gross sales of gasoline,Litres,thousands,965671.0
330,1993,New Brunswick,Net sales of diesel oil,Litres,thousands,306443.0
331,1993,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3850.0
332,1993,Quebec,Net sales of gasoline,Litres,thousands,7037733.0
333,1993,Quebec,Gross sales of gasoline,Litres,thousands,7142433.0
334,1993,Quebec,Net sales of diesel oil,Litres,thousands,2256598.0
335,1993,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,2359.0
336,1993,Ontario,Net sales of gasoline,Litres,thousands,12029467.0
337,1993,Ontario,Gross sales of gasoline,Litres,thousands,12255200.0
338,1993,Ontario,Net sales of diesel oil,Litres,thousands,2830500.0
339,1993,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,490901.0
340,1993,Manitoba,Net sales of gasoline,Litres,thousands,1253892.0
341,1993,Manitoba,Gross sales of gasoline,Litres,thousands,1424174.0
342,1993,Manitoba,Net sales of diesel oil,Litres,thousands,361542.0
343,1993,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,30415.0
344,1993,Saskatchewan,Net sales of gasoline,Litres,thousands,1373463.0
345,1993,Saskatchewan,Gross sales of gasoline,Litres,thousands,1594192.0
346,1993,Saskatchewan,Net sales of diesel oil,Litres,thousands,512268.0
347,1993,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,68593.0
348,1993,Alberta,Net sales of gasoline,Litres,thousands,3873700.0
349,1993,Alberta,Gross sales of gasoline,Litres,thousands,4295500.0
350,1993,Alberta,Net sales of diesel oil,Litres,thousands,1250900.0
351,1993,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,426800.0
352,1993,British Columbia,Net sales of gasoline,Litres,thousands,3869461.0
353,1993,British Columbia,Gross sales of gasoline,Litres,thousands,4028083.0
354,1993,British Columbia,Net sales of diesel oil,Litres,thousands,989618.0
355,1993,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
356,1993,Yukon,Net sales of gasoline,Litres,thousands,61276.0
357,1993,Yukon,Gross sales of gasoline,Litres,thousands,64260.0
358,1993,Yukon,Net sales of diesel oil,Litres,thousands,23269.0
359,1993,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
360,1993,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,33126.0
361,1993,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,65057.0
362,1993,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,23717.0
363,1993,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
364,1994,Canada,Net sales of gasoline,Litres,thousands,33297035.0
365,1994,Canada,Gross sales of gasoline,Litres,thousands,34571130.0
366,1994,Canada,Net sales of diesel oil,Litres,thousands,9936354.0
367,1994,Canada,Net sales of liquefied petroleum gas,Litres,thousands,903152.0
368,1994,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,591489.0
369,1994,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,602046.0
370,1994,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,151045.0
